Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Argentina,Liga Profesional,2025,15/08/2025,19:30,Aldosivi,Belgrano,0,0,D,3.64,2.9,2.42,3.7,3.05,2.48,3.39,2.85,2.36,3.7,3,2.46,3.7,2.88,2.3
Argentina,Liga Profesional,2025,15/08/2025,23:00,Instituto,Union de Santa Fe,0,4,A,2.53,2.9,3.42,2.45,3,3.55,2.36,2.87,3.36,2.56,2.92,3.6,2.45,2.88,3.4
Argentina,Liga Profesional,2025,16/08/2025,01:00,Racing Club,Tigre,1,2,A,2.27,3.1,3.69,2.25,3.1,4,2.15,3,3.67,2.28,3.1,4,2.15,3,3.8
Argentina,Liga Profesional,2025,16/08/2025,18:15,Platense,San Lorenzo,2,1,H,2.51,2.63,3.92,2.45,2.75,4,2.39,2.58,3.8,2.48,2.72,4.3,2.35,2.75,3.75
Argentina,Liga Profesional,2025,16/08/2025,20:15,Huracan,Argentinos Jrs,1,0,H,3.88,2.77,2.41,4.33,2.88,2.17,4.16,2.79,2.11,4.6,2.9,2.26,4.33,2.88,2.1
Argentina,Liga Profesional,2025,16/08/2025,22:30,Rosario Central,Dep. Riestra,1,1,D,1.75,3.24,6.43,1.7,3.5,8.5,1.58,3.35,7.19,1.62,3.55,9,1.55,3.4,8.5
Argentina,Liga Profesional,2025,17/08/2025,00:30,Velez Sarsfield,Independiente,2,1,H,2.9,2.84,2.98,3.2,2.95,2.75,3,2.81,2.63,3.25,2.84,2.84,3.2,2.75,2.7
Argentina,Liga Profesional,2025,17/08/2025,18:00,Defensa y Justicia,Newells Old Boys,1,1,D,1.78,3.46,5.39,1.73,3.6,6.25,1.7,3.38,5.45,1.82,3.45,5.9,1.7,3.3,5.75
Argentina,Liga Profesional,2025,17/08/2025,18:00,Gimnasia L.P.,Lanus,1,2,A,2.45,2.83,3.69,2.45,2.95,3.55,2.36,2.81,3.44,2.52,2.86,3.75,2.45,2.8,3.5
Argentina,Liga Profesional,2025,17/08/2025,20:15,Banfield,Estudiantes L.P.,3,2,H,2.51,3.03,3.28,2.75,3,3.1,2.62,2.86,2.96,2.92,2.98,3.05,2.63,2.9,3
Argentina,Liga Profesional,2025,17/08/2025,20:15,Central Cordoba,Barracas Central,1,1,D,2.37,3.1,3.47,2.12,3.2,4.1,2.06,3.06,3.87,2.14,3.2,4.4,2.05,3.2,3.9
Argentina,Liga Profesional,2025,17/08/2025,22:30,River Plate,Godoy Cruz,4,2,H,1.58,3.93,6.7,1.75,3.75,5.75,1.69,3.45,5.3,1.75,3.55,6.2,1.73,3.5,5
Argentina,Liga Profesional,2025,18/08/2025,00:30,Ind. Rivadavia,Boca Juniors,0,3,A,3.07,2.99,2.69,3.1,3.1,2.65,2.97,2.93,2.56,3.15,3.05,2.72,3.1,3,2.5
Argentina,Liga Profesional,2025,18/08/2025,23:00,Sarmiento Junin,Atl. Tucuman,2,2,D,2.83,2.83,3.06,2.92,2.9,2.95,2.83,2.78,2.78,3.05,2.88,3,2.9,2.75,2.8
Argentina,Liga Profesional,2025,19/08/2025,01:00,Talleres Cordoba,San Martin S.J.,0,0,D,1.76,3.42,5.68,1.81,3.45,5.5,1.75,3.29,5.07,1.83,3.4,6,1.75,3.3,5.25
Argentina,Liga Profesional,2025,22/08/2025,19:30,Barracas Central,Defensa y Justicia,1,1,D,2.79,3.1,2.84,2.8,3.3,4.5,2.54,3.06,2.96,2.88,3.1,3,2.63,3.1,2.8
Argentina,Liga Profesional,2025,23/08/2025,00:00,Tigre,Ind. Rivadavia,1,1,D,2.33,2.8,4.04,2.3,3,4,2.24,2.81,3.74,2.34,2.92,4.2,2.2,3,3.9
Argentina,Liga Profesional,2025,23/08/2025,18:30,San Lorenzo,Instituto,1,0,H,2.21,2.84,4.38,2.3,2.9,4.1,2.18,2.8,3.94,2.34,2.82,4.3,2.3,2.8,3.8
