Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
China,Super League,2025,15/08/2025,12:35,Shanghai Port,Henan Songshan Longmen,4,1,H,1.28,5.41,10.68,1.28,6.75,9.5,1.24,6.09,8.64,1.28,7.2,11,1.27,6.25,9
China,Super League,2025,15/08/2025,13:00,Yunnan Yukun,Wuhan Three Towns,2,1,H,1.67,4.14,4.94,1.7,4,5,1.63,3.91,4.53,1.73,4.2,5.2,1.6,3.9,5
China,Super League,2025,16/08/2025,11:30,Tianjin Jinmen Tiger,Dalian Yingbo,2,0,H,2.12,3.51,3.54,1.9,3.7,4.33,1.82,3.46,4,1.88,3.75,4.8,1.85,3.4,4.33
China,Super League,2025,16/08/2025,12:00,Changchun Yatai,Meizhou Hakka,1,0,H,1.97,3.82,3.69,2.25,3.7,3.4,2.08,3.45,3.16,2.2,3.7,3.55,2.25,3.3,3.2
China,Super League,2025,16/08/2025,12:00,Qingdao West Coast,Beijing Guoan,1,3,A,3.93,4.06,1.85,3.4,3.9,2.15,3.06,3.67,2.04,3.4,4,2.16,3,3.7,2.15
China,Super League,2025,16/08/2025,12:35,Shenzhen Xinpengcheng,Shandong Taishan,1,3,A,3.58,4.15,1.92,3.3,3.95,2.2,2.95,3.64,2.11,3.15,4,2.26,3,3.7,2.2
China,Super League,2025,16/08/2025,12:35,Zhejiang Professional,Shanghai Shenhua,0,0,D,3.59,4.2,1.91,4.1,4.6,1.76,3.93,4.24,1.68,4.3,4.5,1.79,4,4.33,1.7
China,Super League,2025,16/08/2025,13:00,Chengdu Rongcheng,Qingdao Hainiu,0,0,D,1.32,5.8,8.91,1.7,4,5.25,1.64,3.84,4.59,1.66,4.3,5.9,1.62,3.9,5.25
China,Super League,2025,20/08/2025,12:35,Zhejiang Professional,Tianjin Jinmen Tiger,2,0,H,1.68,4.12,4.84,1.66,4.5,5.66,1.55,4.25,4.85,1.59,4.7,5.8,1.53,4.5,5.5
China,Super League,2025,23/08/2025,12:35,Qingdao Hainiu,Shanghai Shenhua,0,2,A,7.67,5.12,1.39,7.5,5.4,1.38,6.93,5.08,1.34,9,5.8,1.38,6.5,5.25,1.38
China,Super League,2025,23/08/2025,12:35,Yunnan Yukun,Chengdu Rongcheng,1,5,A,5.59,4.27,1.58,7,5,1.44,6.24,4.73,1.4,7.2,5.2,1.47,6,5,1.44
China,Super League,2025,24/08/2025,12:00,Changchun Yatai,Shenzhen Xinpengcheng,1,0,H,2.39,3.5,2.98,3,3.6,2.55,2.74,3.43,2.33,2.96,3.6,2.52,3,3.5,2.3
China,Super League,2025,24/08/2025,12:00,Meizhou Hakka,Zhejiang Professional,2,2,D,3.14,3.95,2.14,3.25,4,2.05,3.11,3.81,1.99,3.35,4.1,2.1,3.25,4,2
China,Super League,2025,24/08/2025,12:00,Shanghai Port,Tianjin Jinmen Tiger,1,1,D,1.29,5.91,9.16,1.32,6.5,11,1.24,5.96,9.04,1.26,7.4,13,1.22,6.5,10
China,Super League,2025,24/08/2025,12:35,Henan Songshan Longmen,Dalian Yingbo,4,0,H,1.65,4.12,5.15,1.6,4.5,5.5,1.55,4.1,5.06,1.61,4.5,5.9,1.55,4.5,5.25
China,Super League,2025,24/08/2025,13:00,Shandong Taishan,Qingdao West Coast,3,2,H,1.36,5.34,8.01,1.33,5.6,9.5,1.28,5.38,8.29,1.34,6.2,10,1.33,5.25,8.5
China,Super League,2025,25/08/2025,13:00,Beijing Guoan,Wuhan Three Towns,4,0,H,1.34,5.68,8.17,1.32,6.25,8.5,1.28,5.7,7.67,1.31,6.8,10,1.29,6.25,8
China,Super League,2025,29/08/2025,12:00,Qingdao Hainiu,Henan Songshan Longmen,1,1,D,2.83,3.95,2.31,5,5,1.73,4.38,4.4,1.59,5,5,1.63,4.5,5,1.51
China,Super League,2025,30/08/2025,12:35,Chengdu Rongcheng,Shanghai Port,4,1,H,1.77,4.15,3.86,1.74,4.35,4.75,1.65,4.08,4.23,1.71,4.4,5.1,1.61,4.2,4.75
China,Super League,2025,30/08/2025,13:00,Yunnan Yukun,Changchun Yatai,1,1,D,1.81,4.32,3.88,1.74,4.75,4.5,1.65,4.26,4.06,1.65,4.8,4.9,1.48,4.75,4.5
China,Super League,2025,31/08/2025,12:00,Wuhan Three Towns,Shanghai Shenhua,1,0,H,5.84,4.71,1.4,9.5,5.4,1.34,8.28,5.12,1.3,9.4,5.6,1.37,9,5.25,1.3
China,Super League,2025,31/08/2025,12:35,Shandong Taishan,Beijing Guoan,6,0,H,2.49,4.35,2.45,2.55,4.4,2.5,2.43,4.02,2.34,2.52,4.5,2.58,2.4,4,2.4
China,Super League,2025,31/08/2025,12:35,Shenzhen Xinpengcheng,Meizhou Hakka,2,0,H,1.84,3.91,4.12,1.91,4,4,1.81,3.71,3.71,1.98,3.9,4,1.86,3.8,3.75
China,Super League,2025,12/09/2025,11:00,Shanghai Port,Yunnan Yukun,4,2,H,1.27,6.73,8.71,1.24,7.5,11,1.2,6.71,9.38,1.24,8.2,12,1.19,7,11
China,Super League,2025,12/09/2025,12:35,Chengdu Rongcheng,Changchun Yatai,1,0,H,1.11,10.45,22.11,1.15,8.5,19,1.12,7.82,15.57,1.16,10,20,1.08,8.5,19
China,Super League,2025,12/09/2025,12:35,Henan Songshan Longmen,Beijing Guoan,2,0,H,2.64,4.05,2.42,2.3,4,2.66,2.27,3.87,2.55,2.42,4.3,2.74,2.25,4,2.57
China,Super League,2025,12/09/2025,13:00,Shanghai Shenhua,Shandong Taishan,3,3,D,1.3,5.67,9.27,1.5,4.7,6,1.47,4.42,5.44,1.53,4.9,6.6,1.46,4.2,6
China,Super League,2025,13/09/2025,12:35,Qingdao West Coast,Zhejiang Professional,0,2,A,2.73,3.74,2.47,2.5,3.9,2.7,2.38,3.63,2.52,2.64,3.95,2.68,2.45,3.9,2.4
China,Super League,2025,14/09/2025,12:00,Dalian Yingbo,Shenzhen Xinpengcheng,2,1,H,1.64,4.07,5.38,1.68,3.9,5.5,1.62,3.78,4.81,1.71,4.1,5.3,1.57,3.8,5.5
China,Super League,2025,14/09/2025,12:35,Tianjin Jinmen Tiger,Wuhan Three Towns,4,0,H,1.88,3.64,4.26,1.85,3.6,4.2,1.82,3.49,3.89,1.94,3.8,4.4,1.81,3.6,4.1
China,Super League,2025,19/09/2025,12:35,Wuhan Three Towns,Henan Songshan Longmen,2,5,A,3.25,4.41,1.98,4.1,4,1.84,3.63,3.85,1.8,4,4.2,1.91,4.1,3.7,1.79
China,Super League,2025,19/09/2025,13:00,Yunnan Yukun,Dalian Yingbo,1,1,D,1.97,4.13,3.44,1.84,4.2,4.5,1.72,3.9,3.99,1.82,4.4,4.3,1.66,4.1,4.5
China,Super League,2025,20/09/2025,12:00,Changchun Yatai,Zhejiang Professional,3,3,D,4.54,4.25,1.7,4.5,4.1,1.71,4.28,3.88,1.68,4.8,4.3,1.75,4.5,4.1,1.66
China,Super League,2025,20/09/2025,12:35,Meizhou Hakka,Qingdao West Coast,1,2,A,2.71,3.54,2.59,2.6,3.6,2.63,2.47,3.44,2.52,2.66,3.7,2.7,2.55,3.4,2.55
China,Super League,2025,20/09/2025,13:00,Qingdao Hainiu,Shandong Taishan,2,2,D,3.73,3.97,1.92,3,3.8,2.25,2.78,3.65,2.18,3.2,3.95,2.28,2.82,3.8,2.2
China,Super League,2025,21/09/2025,11:00,Beijing Guoan,Shanghai Port,2,3,A,2.33,4.05,2.76,2.25,4.1,2.75,2.21,3.9,2.62,2.4,4.2,2.86,2.2,3.9,2.75
China,Super League,2025,21/09/2025,12:35,Tianjin Jinmen Tiger,Shenzhen Xinpengcheng,1,0,H,1.93,3.62,4.04,1.95,3.7,3.85,1.88,3.53,3.63,1.98,3.85,4,1.86,3.7,3.75
China,Super League,2025,21/09/2025,13:00,Shanghai Shenhua,Chengdu Rongcheng,1,1,D,2.6,3.5,2.71,2.6,3.6,2.55,2.55,3.47,2.44,2.72,3.65,2.7,2.57,3.6,2.35
