Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Romania,Superliga,2025/2026,15/08/2025,17:00,Unirea Slobozia,Metaloglobus Bucharest,2,1,H,1.92,3.36,4.34,2.15,3.35,3.55,2.08,3.2,3.32,2.24,3.4,3.65,2.1,3.25,3.2
Romania,Superliga,2025/2026,15/08/2025,19:30,Din. Bucuresti,UTA Arad,1,1,D,1.88,3.56,4.19,1.84,3.8,4.5,1.76,3.55,4.11,1.82,3.75,5.1,1.73,3.75,4.1
Romania,Superliga,2025/2026,16/08/2025,19:30,Petrolul,FC Hermannstadt,1,1,D,2.78,2.97,2.85,2.9,3.05,2.75,2.75,2.92,2.58,3,2.96,3,2.8,2.88,2.63
Romania,Superliga,2025/2026,17/08/2025,14:15,Csikszereda M. Ciuc,Univ. Craiova,1,2,A,4.55,3.65,1.79,4,3.5,1.94,3.77,3.39,1.87,4.4,3.65,1.97,3.9,3.3,1.85
Romania,Superliga,2025/2026,17/08/2025,16:30,CFR Cluj,FC Botosani,3,3,D,1.74,3.45,5.36,1.83,3.6,6,1.7,3.44,4.74,1.79,3.5,5.9,1.65,3.6,4.75
Romania,Superliga,2025/2026,17/08/2025,19:30,FC Rapid Bucuresti,FCSB,2,2,D,3.04,3.26,2.43,2.7,3.35,2.71,2.62,3.18,2.52,2.96,3.25,2.76,2.63,3.1,2.55
Romania,Superliga,2025/2026,18/08/2025,17:00,FC Arges,Otelul,2,0,H,2.62,3.18,2.85,2.3,3.2,3.6,2.19,3.01,3.31,2.24,3.4,3.75,2.15,3,3.4
Romania,Superliga,2025/2026,18/08/2025,19:30,Farul Constanta,U. Cluj,0,1,A,2.36,3.37,3.05,2.45,3.4,2.9,2.32,3.28,2.8,2.52,3.4,3.2,2.35,3.4,2.75
Romania,Superliga,2025/2026,22/08/2025,17:00,UTA Arad,Unirea Slobozia,1,1,D,1.85,3.71,4.14,1.83,3.8,4.2,1.78,3.61,3.92,1.89,3.75,4.8,1.8,3.7,3.8
Romania,Superliga,2025/2026,22/08/2025,19:30,Metaloglobus Bucharest,FC Rapid Bucuresti,1,2,A,8.04,4.89,1.38,8,4.9,1.44,7.22,4.43,1.38,9.2,4.8,1.45,6.5,4.33,1.4
Romania,Superliga,2025/2026,23/08/2025,16:45,FC Botosani,Csikszereda M. Ciuc,3,1,H,1.9,3.42,4.33,2,3.5,4.35,1.9,3.28,3.84,2.02,3.35,4.4,1.91,3.2,3.7
Romania,Superliga,2025/2026,23/08/2025,19:30,U. Cluj,Din. Bucuresti,0,1,A,2.34,3.3,3.15,2.45,3.4,3.05,2.3,3.22,2.9,2.52,3.3,3.2,2.35,3.3,2.75
Romania,Superliga,2025/2026,24/08/2025,14:15,Otelul,CFR Cluj,4,1,H,3.71,3.05,2.22,3.45,3.25,2.28,3.11,3.13,2.21,3.45,3.15,2.44,3.1,3.2,2.2
Romania,Superliga,2025/2026,24/08/2025,16:30,Univ. Craiova,Petrolul,2,0,H,1.74,3.59,5.05,1.79,3.65,5,1.71,3.46,4.53,1.77,3.65,5.5,1.7,3.5,4.75
Romania,Superliga,2025/2026,24/08/2025,19:30,FCSB,FC Arges,0,2,A,1.68,3.82,5.19,1.57,4,6.33,1.55,3.83,5.44,1.61,4,7.4,1.53,4,5.25
Romania,Superliga,2025/2026,25/08/2025,17:00,FC Hermannstadt,Farul Constanta,1,0,H,2.3,3.16,3.37,2.55,3.2,3,2.4,3.07,2.86,2.7,3.25,3.05,2.55,2.9,2.8
Romania,Superliga,2025/2026,29/08/2025,18:30,FC Rapid Bucuresti,UTA Arad,2,0,H,1.65,4.07,5.02,1.62,4.2,5.5,1.56,3.94,5.04,1.62,4.4,6,1.55,3.9,5
Romania,Superliga,2025/2026,30/08/2025,16:45,Unirea Slobozia,U. Cluj,0,1,A,3.81,3.25,2.09,4.33,3.4,2.07,3.61,3.19,1.99,4.3,3.25,2.08,3.6,3.3,1.91
Romania,Superliga,2025/2026,30/08/2025,19:30,Din. Bucuresti,FC Hermannstadt,2,0,H,1.92,3.36,4.34,2,3.45,4,1.92,3.25,3.79,2,3.4,4.5,1.91,3.3,3.6
Romania,Superliga,2025/2026,31/08/2025,14:00,FC Arges,Metaloglobus Bucharest,2,1,H,1.62,3.67,6.18,1.57,3.9,7,1.53,3.74,5.93,1.6,3.9,7.4,1.5,3.75,6
Romania,Superliga,2025/2026,31/08/2025,16:30,FC Botosani,Univ. Craiova,1,1,D,3.42,3.36,2.18,3.15,3.45,2.36,2.97,3.27,2.23,3.3,3.3,2.4,2.8,3.3,2.3
Romania,Superliga,2025/2026,31/08/2025,19:30,CFR Cluj,FCSB,2,2,D,2.49,3.09,3.1,2.55,3.35,3.1,2.42,3.12,2.81,2.6,3.15,3.25,2.38,3.1,2.9
Romania,Superliga,2025/2026,01/09/2025,16:00,Csikszereda M. Ciuc,Otelul,1,1,D,3.5,3.21,2.22,3.5,3.2,2.25,3.2,3.12,2.17,3.7,3.2,2.34,3.3,3.2,2.15
Romania,Superliga,2025/2026,01/09/2025,19:00,Farul Constanta,Petrolul,2,1,H,2.1,3.32,3.69,2.05,3.55,4.2,1.92,3.29,3.77,1.99,3.45,4.5,1.9,3.4,3.8
Romania,Superliga,2025/2026,12/09/2025,19:00,U. Cluj,FC Rapid Bucuresti,0,0,D,2.35,3.03,3.41,2.38,3.15,3.4,2.32,2.99,3.02,2.48,3.1,3.5,2.35,3,2.9
Romania,Superliga,2025/2026,13/09/2025,14:00,UTA Arad,FC Arges,3,3,D,2.68,3.27,2.72,2.63,3.2,3,2.53,3.04,2.69,2.82,3.1,2.9,2.5,3.1,2.7
Romania,Superliga,2025/2026,13/09/2025,19:30,Metaloglobus Bucharest,CFR Cluj,1,1,D,7.24,4.42,1.45,6.5,3.9,1.62,5.77,3.69,1.54,6.6,4.1,1.63,6.5,3.5,1.53
Romania,Superliga,2025/2026,14/09/2025,13:45,Otelul,FC Botosani,0,1,A,2.2,3.1,3.69,2.2,3.25,3.5,2.13,3.08,3.33,2.32,3.1,3.9,2.1,3.25,3.25
