Competition;Home;Away;Date;Time;HGFT;AGFT;HG1st;AG1st;HG2nd;AG2nd;HGET;AGET;HGP;HGP;Finished;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;bet365-H;bet365-D;bet365-A;Pinny-H;Pinny-D;Pinny-A;H-Max;D-Max;A-Max;H-Avg;D-Avg;A-Avg
World Cup 2014;Germany;Argentina;13.07.2014;20:00;1;0;0;0;0;0;1;0;;;Extra time;10;10;7;2;20;16;5;3;2;2;0;0;2,5;3,2;3,2;2,47;3,33;3,21;2,5;3,4;4;2,35;3,23;3,3
World Cup 2014;Brazil;Netherlands;12.07.2014;21:00;0;3;0;2;0;1;;;;;90 minutes;11;8;5;5;16;20;4;1;3;2;0;0;2,1;3,75;3,6;2,11;3,71;3,61;2,3;3,9;3,68;2,15;3,64;3,29
World Cup 2014;Netherlands;Argentina;9.07.2014;21:00;0;1;0;0;0;0;0;0;2;4;Penalties;7;8;3;5;15;10;4;4;2;1;0;0;3,2;3,25;2,5;3,19;3,24;2,54;3,22;3,4;2,7;3,04;3,19;2,5
World Cup 2014;Brazil;Germany;8.07.2014;21:00;1;7;0;5;1;2;;;;;90 minutes;18;14;13;12;11;14;7;5;1;0;0;0;2,63;3,25;3;2,61;3,19;3,14;2,95;3,3;3,14;2,62;3,14;2,91
World Cup 2014;Netherlands;Costa Rica;5.07.2014;21:00;1;0;0;0;0;0;0;0;4;3;Penalties;20;6;15;3;15;13;11;1;2;4;0;0;1,53;4,2;7,5;1,53;4,25;7,65;1,56;4,3;7,65;1,52;4,11;6,99
World Cup 2014;Argentina;Belgium;5.07.2014;17:00;1;0;1;0;0;0;;;;;90 minutes;10;10;7;4;11;14;3;4;1;2;0;0;2;3,4;4,33;2;3,41;4,35;2,1;3,5;4,5;1,98;3,33;4,2
World Cup 2014;Brazil;Colombia;4.07.2014;21:00;2;1;1;0;1;1;;;;;90 minutes;12;11;6;5;31;23;4;6;2;2;0;0;1,75;3,9;5;1,75;3,87;5,27;1,9;3,95;5,27;1,76;3,73;4,86
World Cup 2014;France;Germany;4.07.2014;17:00;0;1;0;1;0;0;;;;;90 minutes;13;8;9;6;15;18;5;3;0;2;0;0;2,8;3,2;2,8;2,82;3,25;2,79;3,1;3,25;2,9;2,79;3,11;2,77
World Cup 2014;Belgium;USA;1.07.2014;21:00;2;1;0;0;0;0;2;1;;;Extra time;38;14;27;9;27;11;19;4;1;1;0;0;2;3,4;4,33;2,01;3,43;4,32;2,1;3,65;4,42;2;3,37;4,04
World Cup 2014;Argentina;Switzerland;1.07.2014;17:00;1;0;0;0;0;0;1;0;;;Extra time;29;14;22;7;19;28;13;5;3;2;0;0;1,57;4,2;6,5;1,57;4,29;6,68;1,59;4,5;7,4;1,56;4,1;6,35
World Cup 2014;Germany;Algeria;30.06.2014;21:00;2;1;0;0;0;0;2;1;;;Extra time;29;11;22;7;11;20;10;4;1;1;0;0;1,33;5,75;10;1,32;5,81;11,15;1,34;6;13;1,31;5,53;10,15
World Cup 2014;France;Nigeria;30.06.2014;17:00;2;0;0;0;2;0;;;;;90 minutes;15;8;9;6;12;15;12;9;1;0;0;0;1,44;4,75;8,5;1,43;4,74;9,25;1,5;4,85;9,5;1,41;4,6;8,41
World Cup 2014;Costa Rica;Greece;29.06.2014;21:00;2;1;0;0;1;1;0;0;5;3;Penalties;6;24;2;13;22;16;3;11;6;2;1;0;2,8;3,1;2,9;2,75;3,17;2,95;2,82;3,2;3,2;2,66;3,08;2,9
World Cup 2014;Netherlands;Mexico;29.06.2014;17:00;2;1;0;0;2;1;;;;;90 minutes;14;12;8;7;8;12;10;2;0;3;0;0;2,2;3,3;3,8;2,19;3,37;3,74;2,21;3,65;4;2,13;3,3;3,69
World Cup 2014;Colombia;Uruguay;28.06.2014;21:00;2;0;1;0;1;0;;;;;90 minutes;10;16;8;9;19;17;3;5;1;2;0;0;2,15;3,4;3,75;2,21;3,38;3,69;2,24;3,55;3,85;2,14;3,32;3,63
World Cup 2014;Brazil;Chile;28.06.2014;17:00;2;1;1;1;0;0;0;0;3;2;Penalties;23;13;13;5;28;23;9;5;4;3;0;0;1,53;4,5;6,5;1,53;4,68;6,65;1,57;4,8;6,65;1,52;4,42;6,26
World Cup 2014;Algeria;Russia;26.06.2014;21:00;1;1;0;1;1;0;;;;;90 minutes;8;10;6;7;15;14;3;4;3;2;0;0;3,8;3,8;2;3,8;3,87;2,01;5;4;2,1;3,66;3,65;2
World Cup 2014;South Korea;Belgium;26.06.2014;21:00;0;1;0;0;0;1;;;;;90 minutes;18;16;12;11;16;11;6;4;1;1;0;1;4,75;3,6;1,85;4,82;3,57;1,88;5,3;3,8;1,9;4,58;3,55;1,83
World Cup 2014;Portugal;Ghana;26.06.2014;17:00;2;1;1;0;1;1;;;;;90 minutes;19;18;10;6;21;16;7;4;1;3;0;0;1,73;5;4;1,74;5,25;3,95;1,85;5,25;4,5;1,76;4,76;3,75
World Cup 2014;USA;Germany;26.06.2014;17:00;0;1;0;0;0;1;;;;;90 minutes;4;13;1;9;15;9;2;3;2;1;0;0;9;3,2;1,67;8,83;3,23;1,68;9,1;4,33;1,7;8,22;3,12;1,66
World Cup 2014;Ecuador;France;25.06.2014;21:00;0;0;0;0;0;0;;;;;90 minutes;11;20;7;13;17;6;1;7;1;0;1;0;6;4,2;1,62;5,48;4,29;1,65;6;4,33;1,85;5,44;4,07;1,62
World Cup 2014;Honduras;Switzerland;25.06.2014;21:00;0;3;0;2;0;1;;;;;90 minutes;13;16;6;13;17;18;8;1;1;0;0;0;7,5;4,5;1,5;6,99;4,54;1,52;7,5;4,8;1,57;6,92;4,4;1,49
World Cup 2014;Bosnia & Herzegovina;Iran;25.06.2014;17:00;3;1;1;0;2;1;;;;;90 minutes;13;7;9;5;20;17;6;5;1;1;0;0;2,2;3,6;3,4;2,21;3,65;3,42;2,3;3,75;5,5;2,18;3,52;3,33
World Cup 2014;Nigeria;Argentina;25.06.2014;17:00;2;3;1;2;1;1;;;;;90 minutes;12;18;7;13;17;6;4;12;2;0;0;0;10;4,33;1,44;10,35;4,34;1,44;10,5;5;1,55;9,37;4,19;1,43
World Cup 2014;Greece;Ivory Coast;24.06.2014;21:00;2;1;1;0;1;1;;;;;90 minutes;13;13;5;9;13;23;4;7;0;3;0;0;4,1;3,7;1,95;4,15;3,68;1,97;4,55;3,8;2,3;3,92;3,56;1,97
World Cup 2014;Japan;Colombia;24.06.2014;21:00;1;4;1;1;0;3;;;;;90 minutes;23;13;13;9;10;19;9;2;1;1;0;0;3,5;3,8;2,1;3,45;3,74;2,16;4,33;3,9;2,17;3,44;3,68;2,07
World Cup 2014;Costa Rica;England;24.06.2014;17:00;0;0;0;0;0;0;;;;;90 minutes;4;8;3;3;17;17;3;7;1;2;0;0;4,75;4,1;1,75;4,71;4,06;1,78;7;4,33;1,85;4,52;3,96;1,76
World Cup 2014;Italy;Uruguay;24.06.2014;17:00;0;1;0;0;0;1;;;;;90 minutes;9;14;5;9;19;20;3;3;2;2;1;0;2,6;3,6;2,75;2,62;3,63;2,75;2,69;3,65;2,9;2,53;3,44;2,76
World Cup 2014;Cameroon;Brazil;23.06.2014;21:00;1;4;1;2;0;2;;;;;90 minutes;12;19;6;18;14;19;6;7;3;0;0;0;26;10;1,13;27;9,8;1,14;29;11;1,18;21,53;9,45;1,13
World Cup 2014;Croatia;Mexico;23.06.2014;21:00;1;3;0;0;1;3;;;;;90 minutes;10;12;5;7;18;12;7;9;1;2;1;0;2,75;3,6;2,63;2,74;3,64;2,63;2,8;3,75;2,76;2,68;3,43;2,61
World Cup 2014;Australia;Spain;23.06.2014;17:00;0;3;0;1;0;2;;;;;90 minutes;4;11;0;8;14;9;2;6;2;1;0;0;9;5,5;1,36;8,59;5,63;1,37;17;6;1,5;8,1;5,28;1,37
World Cup 2014;Netherlands;Chile;23.06.2014;17:00;2;0;0;0;2;0;;;;;90 minutes;13;7;8;1;26;14;2;7;1;1;0;0;2,75;3,6;2,6;2,79;3,63;2,59;2,8;3,85;3,1;2,65;3,48;2,62
World Cup 2014;USA;Portugal;22.06.2014;23:00;2;2;0;1;2;1;;;;;90 minutes;15;20;10;9;11;14;6;4;1;0;0;0;4,75;4,2;1,75;5,05;4,28;1,7;5,05;4,45;1,9;4,58;4,01;1,73
World Cup 2014;South Korea;Algeria;22.06.2014;20:00;2;4;0;3;2;1;;;;;90 minutes;9;15;6;8;13;16;7;5;2;1;0;0;2,5;3,4;3;2,54;3,3;3,09;2,65;3,4;3,6;2,49;3,25;2,96
World Cup 2014;Belgium;Russia;22.06.2014;17:00;1;0;0;0;1;0;;;;;90 minutes;11;13;7;6;14;9;5;8;2;1;0;0;2,25;3,4;3,5;2,28;3,41;3,46;2,28;3,65;3,6;2,21;3,31;3,43
World Cup 2014;Nigeria;Bosnia & Herzegovina;21.06.2014;23:00;1;0;1;0;0;0;;;;;90 minutes;20;18;13;10;9;7;4;4;1;1;0;0;4,5;3,6;1,91;4,35;3,75;1,91;4,5;4;2,3;4,21;3,61;1,89
World Cup 2014;Germany;Ghana;21.06.2014;20:00;2;2;0;0;2;2;;;;;90 minutes;11;20;6;10;11;17;7;3;0;1;0;0;1,36;5,5;9,5;1,35;5,64;9,56;1,41;6;11;1,33;5,49;9
World Cup 2014;Argentina;Iran;21.06.2014;17:00;1;0;0;0;1;0;;;;;90 minutes;19;8;9;4;8;14;10;6;0;2;0;0;1,14;9;23;1,16;8,77;21,17;1,16;9,9;26;1,14;8,4;20,55
World Cup 2014;Honduras;Ecuador;20.06.2014;23:00;1;2;1;1;0;1;;;;;90 minutes;16;8;9;5;15;17;4;12;2;3;0;0;6;4,25;1,6;5,92;4,4;1,6;6,25;4,5;1,73;5,72;4,14;1,6
World Cup 2014;Switzerland;France;20.06.2014;20:00;2;5;0;3;2;2;;;;;90 minutes;17;22;8;16;12;16;5;3;0;1;0;0;4,5;3,6;1,91;4,75;3,55;1,89;5,65;3,6;2;4,62;3,47;1,84
World Cup 2014;Italy;Costa Rica;20.06.2014;17:00;0;1;0;1;0;0;;;;;90 minutes;10;10;6;6;10;24;4;5;1;1;0;0;1,62;4;6,5;1,6;4,04;6,89;1,63;4,8;9,5;1,56;4,01;6,59
World Cup 2014;Japan;Greece;19.06.2014;23:00;0;0;0;0;0;0;;;;;90 minutes;16;9;11;5;23;18;5;7;1;4;0;1;2,5;3,4;3;2,54;3,47;2,96;2,54;3,7;3,2;2,38;3,33;3,06
World Cup 2014;Uruguay;England;19.06.2014;20:00;2;1;1;0;1;1;;;;;90 minutes;10;13;6;8;17;12;7;6;1;1;0;0;3,9;3,9;1,95;3,92;3,95;1,95;4;4,2;2,8;3,75;3,74;1,97
World Cup 2014;Colombia;Ivory Coast;19.06.2014;17:00;2;1;0;0;2;1;;;;;90 minutes;11;15;8;12;11;14;5;5;0;2;0;0;2,05;3,6;3,8;2,03;3,66;3,98;2,1;3,66;4,2;2,02;3,49;3,8
World Cup 2014;Cameroon;Croatia;18.06.2014;23:00;0;4;0;1;0;3;;;;;90 minutes;18;21;7;14;11;9;4;7;0;1;1;0;5,75;4;1,67;5,81;4,13;1,65;6,75;4,13;2,05;5,46;3,89;1,65
World Cup 2014;Spain;Chile;18.06.2014;20:00;0;2;0;2;0;0;;;;;90 minutes;15;7;9;4;14;15;7;1;1;2;0;0;1,6;4,5;5,5;1,59;4,56;5,86;1,73;5,1;6,2;1,57;4,41;5,55
World Cup 2014;Australia;Netherlands;18.06.2014;17:00;2;3;1;1;1;2;;;;;90 minutes;10;15;8;14;18;25;3;2;1;1;0;0;13;7;1,25;13,87;6,43;1,26;15;7;1,36;12,68;6,48;1,24
World Cup 2014;Russia;South Korea;17.06.2014;23:00;1;1;0;0;1;1;;;;;90 minutes;16;10;10;6;15;7;4;4;1;3;0;0;1,85;3,6;4,75;1,83;3,65;4,97;2,05;3,85;5,1;1,83;3,56;4,6
World Cup 2014;Brazil;Mexico;17.06.2014;20:00;0;0;0;0;0;0;;;;;90 minutes;14;13;8;3;13;18;4;3;2;2;0;0;1,36;5,25;10;1,37;5,37;9,69;1,38;5,8;11;1,34;5,25;9,17
World Cup 2014;Belgium;Algeria;17.06.2014;17:00;2;1;0;1;2;0;;;;;90 minutes;16;3;10;1;20;18;7;2;0;0;0;0;1,33;5,5;11;1,35;5,37;10,98;1,36;5,7;13;1,34;5,14;9,89
World Cup 2014;Ghana;USA;16.06.2014;23:00;1;2;0;1;1;1;;;;;90 minutes;21;8;8;7;10;12;7;3;2;0;0;0;2,5;3,4;3;2,49;3,49;3,01;2,6;3,65;3,1;2,42;3,39;2,99
World Cup 2014;Iran;Nigeria;16.06.2014;20:00;0;0;0;0;0;0;;;;;90 minutes;7;10;3;6;18;16;2;7;1;0;0;0;5;3,5;1,85;5,04;3,55;1,85;5,3;3,7;2;4,77;3,43;1,84
World Cup 2014;Germany;Portugal;16.06.2014;17:00;4;0;3;0;1;0;;;;;90 minutes;13;14;9;9;8;11;4;6;0;1;0;1;2,15;3,5;3,6;2,18;3,48;3,62;2,18;3,75;4;2,07;3,49;3,64
World Cup 2014;Argentina;Bosnia & Herzegovina;15.06.2014;23:00;2;1;1;0;1;1;;;;;90 minutes;11;16;5;11;10;14;2;6;1;1;0;0;1,3;5,75;12;1,33;5,8;10,6;1,36;6,05;12;1,31;5,56;10,24
World Cup 2014;France;Honduras;15.06.2014;20:00;3;0;1;0;2;0;;;;;90 minutes;20;4;10;2;13;14;8;0;3;4;0;1;1,25;6,5;14;1,26;6,4;14,55;1,3;6,5;16,3;1,26;5,89;12,4
World Cup 2014;Switzerland;Ecuador;15.06.2014;17:00;2;1;0;1;2;0;;;;;90 minutes;18;10;12;6;9;15;8;5;1;1;0;0;2,55;3,2;3,1;2,5;3,35;3,12;2,6;3,35;3,3;2,4;3,21;3,13
World Cup 2014;Ivory Coast;Japan;15.06.2014;02:00;2;1;0;1;2;0;;;;;90 minutes;19;7;9;4;12;13;8;5;2;2;0;0;2,75;3,4;2,7;2,76;3,41;2,75;2,8;3,47;2,9;2,68;3,31;2,7
World Cup 2014;England;Italy;14.06.2014;23:00;1;2;1;1;0;1;;;;;90 minutes;18;12;8;5;8;12;9;2;1;0;0;0;2,5;3;3,4;2,49;3,05;3,45;3,1;3,1;3,45;2,51;2,99;3,23
World Cup 2014;Uruguay;Costa Rica;14.06.2014;20:00;1;3;1;0;0;3;;;;;90 minutes;9;12;5;4;20;18;5;6;3;0;1;0;1,44;4,33;9,5;1,46;4,35;9,42;1,48;4,7;10,5;1,44;4,2;9,02
World Cup 2014;Colombia;Greece;14.06.2014;17:00;3;0;1;0;2;0;;;;;90 minutes;12;12;8;7;19;14;4;4;1;2;0;0;1,85;3,3;5,5;1,88;3,32;5,32;1,91;3,75;6;1,84;3,26;5,12
World Cup 2014;Chile;Australia;13.06.2014;23:00;3;1;2;1;1;0;;;;;90 minutes;11;13;9;6;9;18;3;1;0;0;0;0;1,44;4,5;9;1,44;4,55;9,44;1,5;4,85;10,5;1,42;4,4;8,63
World Cup 2014;Spain;Netherlands;13.06.2014;20:00;1;5;1;1;0;4;;;;;90 minutes;9;13;6;11;5;18;4;1;1;3;0;0;1,85;3,4;5,25;1,85;3,44;5,31;1,91;3,5;5,5;1,84;3,32;4,99
