Competition;Home;Away;Date;Time;HGFT;AGFT;HG1st;AG1st;HG2nd;AG2nd;HGET;AGET;HGP;HGP;Finished;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;bet365-H;bet365-D;bet365-A;Betfair_Exch-H;Betfair_Exch-D;Betfair_Exch-A;H-Max;D-Max;A-Max;H-Avg;D-Avg;A-Avg
World Cup 2022;Argentina;France;18.12.2022;15:00;2;2;2;0;0;2;1;1;4;2;Penalties;21;10;9;5;26;19;6;5;4;3;0;0;2,7;3,1;2,88;2,76;3,15;3,05;2,7;3,2;2,9;2,63;3,12;2,84
World Cup 2022;Croatia;Morocco;17.12.2022;15:00;2;1;2;1;0;0;;;;;90 minutes;14;7;4;2;13;11;6;3;0;2;0;0;2,2;3,5;3,1;2,32;3,75;3,25;2,25;3,6;3,15;2,23;3,49;3,09
World Cup 2022;France;Morocco;14.12.2022;19:00;2;0;1;0;1;0;;;;;90 minutes;14;13;2;1;11;11;2;3;0;1;0;0;1,55;4;6,5;1,62;4;7,2;1,62;4;6,5;1,58;3,82;6,25
World Cup 2022;Argentina;Croatia;13.12.2022;19:00;3;0;2;0;1;0;;;;;90 minutes;10;12;7;3;15;8;2;4;2;2;0;0;1,95;3,1;4,75;2,06;3,1;5;2,05;3,13;4,8;1,98;3,07;4,45
World Cup 2022;England;France;10.12.2022;19:00;1;2;0;1;1;1;;;;;90 minutes;14;9;6;5;10;14;5;2;1;3;0;0;2,75;3,1;2,7;2,98;3,2;2,8;2,95;3,1;2,8;2,81;3,05;2,69
World Cup 2022;Morocco;Portugal;10.12.2022;15:00;1;0;1;0;0;0;;;;;90 minutes;9;11;3;3;15;9;3;9;3;1;1;0;6,5;3,8;1,57;6,6;4;1,66;6,5;4;1,61;6,17;3,79;1,58
World Cup 2022;Netherlands;Argentina;9.12.2022;19:00;2;2;0;1;2;1;0;0;3;4;Penalties;5;15;2;6;30;18;2;8;5;8;0;0;3,6;3,1;2,2;3,75;3,25;2,32;3,75;3,15;2,3;3,57;3,06;2,22
World Cup 2022;Croatia;Brazil;9.12.2022;15:00;0;0;0;0;0;0;1;1;4;2;Penalties;9;20;1;11;22;24;3;7;2;3;0;0;9;4,75;1,36;9,8;4,9;1,43;9;4,8;1,4;8,53;4,57;1,39
World Cup 2022;Portugal;Switzerland;6.12.2022;19:00;6;1;2;0;4;1;;;;;90 minutes;14;10;9;1;12;10;6;6;0;2;0;0;2;3,5;3,8;1,96;3,65;4,5;2;3,65;4,5;1,91;3,54;4,04
World Cup 2022;Morocco;Spain;6.12.2022;15:00;0;0;0;0;0;0;0;0;3;0;Penalties;6;13;3;1;15;14;0;8;1;1;0;0;6;3,75;1,62;6,6;4;1,65;6,5;4;1,62;6,04;3,72;1,61
World Cup 2022;Brazil;South Korea;5.12.2022;19:00;4;1;4;0;0;1;;;;;90 minutes;18;10;9;6;8;13;5;4;0;1;0;0;1,2;6,5;13;1,27;6,6;15;1,25;6,75;15;1,21;6,39;14,22
World Cup 2022;Japan;Croatia;5.12.2022;15:00;1;1;1;0;0;1;0;0;1;3;Penalties;12;16;4;4;13;16;8;5;0;2;0;0;3,8;3,25;2,05;4;3,35;2,18;4;3,25;2,15;3,81;3,2;2,08
World Cup 2022;England;Senegal;4.12.2022;19:00;3;0;2;0;1;0;;;;;90 minutes;8;10;4;2;16;12;3;3;0;1;0;0;1,6;3,6;6,5;1,64;3,95;7;1,62;3,75;7;1,59;3,64;6,53
World Cup 2022;France;Poland;4.12.2022;15:00;3;1;1;0;2;1;;;;;90 minutes;16;11;7;3;10;8;7;1;1;2;0;0;1,36;4,75;9;1,4;5,1;10,5;1,4;5,1;9;1,38;4,79;8,41
World Cup 2022;Argentina;Australia;3.12.2022;19:00;2;1;1;0;1;1;;;;;90 minutes;14;5;5;2;8;15;1;3;0;2;0;0;1,28;6;9;1,32;7;9,4;1,29;6,5;13;1,27;5,92;10,23
World Cup 2022;Netherlands;USA;3.12.2022;15:00;3;1;2;0;1;1;;;;;90 minutes;11;18;6;7;10;5;4;5;2;0;0;0;1,9;3,3;4,33;1,99;3,45;4,7;1,95;3,5;4,6;1,9;3,32;4,36
World Cup 2022;Cameroon;Brazil;2.12.2022;19:00;1;0;0;0;1;0;;;;;90 minutes;7;19;3;6;14;14;3;11;5;2;1;0;11;5,25;1,3;9,8;5,5;1,39;11;5,5;1,37;8,95;5,19;1,33
World Cup 2022;Serbia;Switzerland;2.12.2022;19:00;2;3;2;2;0;1;;;;;90 minutes;11;14;4;7;18;13;2;0;7;4;0;0;2,55;3,3;2,8;2,62;3,45;2,98;2,55;3,4;2,9;2,51;3,31;2,81
World Cup 2022;Ghana;Uruguay;2.12.2022;15:00;0;2;0;2;0;0;;;;;90 minutes;9;12;4;7;18;11;5;2;2;5;0;0;4,5;3,8;1,75;4,9;4;1,8;4,6;3,9;1,82;4,53;3,74;1,77
World Cup 2022;South Korea;Portugal;2.12.2022;15:00;2;1;1;1;1;0;;;;;90 minutes;12;12;6;4;9;11;5;4;2;0;0;0;4;3,75;1,85;4,5;3,95;1,89;4,4;3,9;1,86;4,25;3,73;1,82
World Cup 2022;Costa Rica;Germany;1.12.2022;19:00;2;4;0;1;2;3;;;;;90 minutes;7;32;5;11;3;9;1;14;1;0;0;0;26;11;1,08;32;12;1,12;31;12;1,12;24,4;10,6;1,09
World Cup 2022;Japan;Spain;1.12.2022;19:00;2;1;0;1;2;0;;;;;90 minutes;6;14;3;5;9;6;0;2;3;0;0;0;6,5;4,33;1,5;7,4;4,7;1,52;7,5;4,6;1,5;6,98;4,35;1,46
World Cup 2022;Canada;Morocco;1.12.2022;15:00;1;2;1;2;0;0;;;;;90 minutes;5;7;0;2;14;14;6;2;4;0;0;0;4,75;3,4;1,83;5,1;3,6;1,89;5;3,55;1,86;4,71;3,41;1,82
